"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","trip","bought","moment","time","daughter","son","morning","job","friend","wife"
"2","book","found","life","day","love","watched","night","received","family","dinner"
"3","visit","house","feel","school","dog","played","walk","project","birthday","husband"
"4","read","finally","happiness","family","son","game","hours","promotion","day","lunch"
"5","temple","car","phone","spend","baby","daughter","started","pay","celebrated","home"
"6","town","husband","surprise","weekend","told","movie","nice","company","gift","favorite"
"7","travel","shopping","people","home","mom","kids","home","card","party","night"
"8","time","money","live","spent","child","fun","day","completed","enjoyed","eat"
"9","church","purchased","positive","class","laugh","won","sleep","hard","visit","cooked"
"10","reached","buy","share","passed","smile","team","feel","called","brother","food"
"11","waiting","store","day","completed","cat","favorite","park","finished","meet","nice"
"12","city","cleaned","dad","finally","bed","video","woke","successfully","parents","ate"
"13","training","garden","joy","event","hug","hit","beautiful","boss","met","delicious"
"14","taking","planted","makes","started","girl","enjoyed","evening","proud","college","restaurant"
"15","beach","saved","date","surprise","wife","run","enjoyed","office","talked","mother"
"16","return","finished","person","planned","weeks","colleagues","relax","managed","vacation","breakfast"
"17","planned","picked","remember","students","boy","mturk","helped","ive","attended","sister"
"18","tour","flowers","lost","dont","sister","funny","rain","news","time","brought"
"19","people","fixed","time","exam","birth","goal","bike","song","wedding","meal"
"20","head","weeks","world","change","learned","discussions","weather","found","marriage","free"
